"customer","internet_service","monthly_charge"
"A464657","Fiber Optic","112.46"
"A767144","Fiber Optic","112.46"
"B164687","Fiber Optic","114.97"
"B197030","Fiber Optic","112.46"
"B899093","Fiber Optic","114.97"
"B968082","Fiber Optic","112.46"
"C129717","Fiber Optic","112.46"
"C313073","Fiber Optic","112.46"
"C635072","Fiber Optic","112.46"
"C661614","Fiber Optic","112.46"
"C700655","Fiber Optic","112.46"
"C704959","Fiber Optic","114.97"
"C742414","Fiber Optic","114.97"
"D507423","Fiber Optic","114.97"
"D952460","Fiber Optic","112.46"
"D994982","Fiber Optic","112.46"
"E460114","Fiber Optic","114.97"
"E938201","Fiber Optic","112.46"
"F153950","Fiber Optic","114.97"
"F232302","Fiber Optic","112.46"
"F362803","Fiber Optic","114.97"
"F518801","Fiber Optic","114.97"
"G164719","Fiber Optic","112.46"
"G250913","Fiber Optic","112.46"
"G419144","Fiber Optic","112.46"
"G838188","Fiber Optic","112.46"
"H154358","Fiber Optic","114.97"
"H247640","Fiber Optic","114.97"
"H269415","Fiber Optic","112.46"
"H350868","Fiber Optic","114.97"
"H368190","Fiber Optic","112.46"
"H383527","Fiber Optic","112.46"
"H401803","Fiber Optic","112.46"
"H686155","Fiber Optic","112.46"
"H755540","Fiber Optic","114.97"
"H908247","Fiber Optic","112.46"
"I259451","Fiber Optic","114.97"
"I338155","Fiber Optic","112.46"
"I369913","Fiber Optic","112.46"
"I898708","Fiber Optic","112.46"
"J547555","Fiber Optic","112.46"
"J670287","Fiber Optic","114.97"
"J707701","Fiber Optic","112.46"
"J795176","Fiber Optic","112.46"
"K320034","Fiber Optic","112.46"
"K379082","Fiber Optic","114.97"
"K390115","Fiber Optic","112.46"
"K402176","Fiber Optic","112.46"
"K639306","Fiber Optic","112.46"
"K858387","Fiber Optic","112.46"
"K886740","Fiber Optic","112.46"
"K966365","Fiber Optic","112.46"
"L110083","Fiber Optic","114.97"
"L221272","Fiber Optic","112.46"
"L403049","Fiber Optic","114.97"
"L631797","Fiber Optic","114.97"
"L708602","Fiber Optic","112.46"
"L842491","Fiber Optic","112.46"
"M295603","Fiber Optic","112.46"
"M382374","Fiber Optic","112.46"
"M659677","Fiber Optic","114.97"
"M772290","Fiber Optic","112.46"
"M79725","Fiber Optic","112.46"
"M818429","Fiber Optic","114.97"
"M836207","Fiber Optic","114.97"
"N772001","Fiber Optic","112.46"
"N883420","Fiber Optic","114.97"
"O112473","Fiber Optic","112.46"
"O47416","Fiber Optic","114.97"
"O53194","Fiber Optic","114.97"
"O542962","Fiber Optic","112.46"
"O575002","Fiber Optic","114.97"
"O698848","Fiber Optic","112.46"
"O804356","Fiber Optic","112.46"
"O996932","Fiber Optic","112.46"
"P133027","Fiber Optic","114.97"
"P73950","Fiber Optic","112.46"
"P914552","Fiber Optic","112.46"
"Q163995","Fiber Optic","112.46"
"Q301443","Fiber Optic","112.46"
"Q83552","Fiber Optic","112.46"
"Q880639","Fiber Optic","112.46"
"Q932518","Fiber Optic","112.46"
"R195318","Fiber Optic","114.97"
"R299073","Fiber Optic","114.97"
"R394501","Fiber Optic","112.46"
"R524267","Fiber Optic","114.97"
"S233298","Fiber Optic","114.97"
"S253484","Fiber Optic","112.46"
"S424236","Fiber Optic","112.46"
"S44484","Fiber Optic","114.97"
"S835724","Fiber Optic","112.46"
"S907944","Fiber Optic","114.97"
"T235921","Fiber Optic","112.46"
"T237036","Fiber Optic","112.46"
"T289864","Fiber Optic","114.97"
"T812251","Fiber Optic","112.46"
"U657488","Fiber Optic","114.97"
"U726172","Fiber Optic","114.97"
"U889748","Fiber Optic","114.97"
"U972291","Fiber Optic","112.46"
"V13975","Fiber Optic","112.46"
"V490898","Fiber Optic","112.46"
"V527256","Fiber Optic","112.46"
"W83230","Fiber Optic","112.46"
"W951099","Fiber Optic","114.97"
"X697479","Fiber Optic","112.46"
"X860508","Fiber Optic","114.97"
"Y595352","Fiber Optic","112.46"
"Y670375","Fiber Optic","114.97"
"Y802622","Fiber Optic","112.46"
"Y901042","Fiber Optic","114.97"
"Y93277","Fiber Optic","112.46"
"Y944097","Fiber Optic","114.97"
"Z12981","Fiber Optic","114.97"
"Z24001","Fiber Optic","112.46"
"Z648344","Fiber Optic","112.46"
"Z841374","Fiber Optic","114.97"
