const,SquareFootage,NumBedrooms,IsLuxury
1.0,645.52,1,0
1.0,1420.92,4,1
1.0,1717.65,3,1
1.0,706.56,4,0
1.0,1038.32,2,1
1.0,1701.95,4,1
1.0,1276.24,3,0
1.0,1117.43,2,0
1.0,550.0,3,0
1.0,714.11,3,0
1.0,739.26,2,0
1.0,550.0,3,0
1.0,733.87,1,0
1.0,920.51,3,0
1.0,550.0,2,0
1.0,550.0,3,0
1.0,721.17,4,0
1.0,663.23,3,0
1.0,701.73,3,0
1.0,1099.16,3,1
1.0,920.23,2,0
1.0,1131.43,4,0
1.0,957.8,4,1
1.0,1834.27,4,1
1.0,1737.13,4,0
1.0,1092.09,3,1
1.0,1037.35,2,0
1.0,709.99,4,1
1.0,1923.32,3,0
1.0,699.29,4,1
1.0,896.81,4,1
1.0,1550.36,4,1
1.0,680.49,3,0
1.0,747.49,3,0
1.0,988.48,4,1
1.0,826.35,2,0
1.0,1309.65,3,0
1.0,756.5,2,0
1.0,1460.44,4,1
1.0,956.19,4,0
1.0,564.94,4,1
1.0,1877.32,4,1
1.0,780.23,3,1
1.0,934.62,4,1
1.0,1004.05,2,0
1.0,550.0,4,0
1.0,1354.92,2,0
1.0,1151.07,4,0
1.0,1104.28,4,1
1.0,1331.78,3,1
1.0,1253.07,3,0
1.0,670.27,2,0
1.0,1029.17,5,0
1.0,1747.75,4,1
1.0,550.0,3,0
1.0,1272.98,1,0
1.0,1608.98,3,0
1.0,627.24,5,1
1.0,550.0,1,1
1.0,1614.37,2,0
1.0,1368.21,3,1
1.0,748.56,4,0
1.0,1940.29,4,1
1.0,550.0,3,1
1.0,925.34,2,0
1.0,1654.51,3,1
1.0,1002.14,4,1
1.0,1040.5,4,1
1.0,1539.74,4,0
1.0,1666.63,1,0
1.0,1112.56,3,1
1.0,844.84,3,0
1.0,1615.39,4,1
1.0,1883.99,2,1
1.0,1789.18,3,1
1.0,576.07,2,0
1.0,1289.46,4,1
1.0,1046.87,3,1
1.0,678.79,2,0
1.0,679.42,2,0
1.0,934.7,3,0
1.0,589.22,4,0
1.0,1578.36,2,0
1.0,1348.73,3,1
1.0,2246.07,2,1
1.0,1067.3,2,0
1.0,1543.39,3,1
1.0,550.0,3,0
1.0,550.0,3,0
1.0,636.25,5,1
1.0,1797.71,2,0
1.0,1335.59,2,1
