Price,SquareFootage,BackyardSpace,CrimeRate,Fireplace,Garage,Fireplace_Present,Garage_Present,constant
103375.7614,645.52,102.29,29.06,No,No,0,0,1
316030.1699,1420.92,457.31,10.64,Yes,Yes,1,1,1
333690.06,1717.65,431.28,0.06,Yes,No,1,0,1
122305.3568,706.56,647.51,4.16,Yes,No,1,0,1
351798.8598,1038.32,28.15,32.96,No,Yes,0,1,1
676922.4903,1701.95,508.18,25.54,No,No,0,0,1
277316.3525,1276.24,359.12,32.61,No,Yes,0,1,1
188922.9338,1117.43,546.97,32.53,No,No,0,0,1
191607.2181,550.0,678.54,11.66,No,No,0,0,1
180729.6457,714.11,461.22,63.03,No,Yes,0,1,1
111788.6598,739.26,373.41,20.04,No,No,0,0,1
198941.9264,550.0,599.79,21.65,No,Yes,0,1,1
239464.1044,733.87,578.69,61.01,No,No,0,0,1
222228.9304,920.51,582.43,49.18,Yes,Yes,1,1,1
252241.3202,550.0,1114.88,28.43,No,No,0,0,1
155707.1319,550.0,421.49,25.07,No,No,0,0,1
160019.0332,721.17,209.36,73.48,No,No,0,0,1
421588.8578,663.23,133.15,0.32,No,No,0,0,1
152376.5716,701.73,722.35,51.91,No,No,0,0,1
210733.5129,1099.16,1041.06,30.78,Yes,Yes,1,1,1
105041.6445,920.23,628.62,56.68,Yes,Yes,1,1,1
216972.8449,1131.43,227.45,44.31,No,Yes,0,1,1
385041.5546,957.8,531.17,6.13,Yes,No,1,0,1
424385.0666,1834.27,442.13,5.16,No,Yes,0,1,1
335869.6815,1737.13,506.46,18.63,No,Yes,0,1,1
430556.8472,1092.09,211.16,42.45,No,No,0,0,1
153297.265,1037.35,934.92,48.03,Yes,No,1,0,1
312456.8833,709.99,990.54,34.29,No,No,0,0,1
506890.4558,1923.32,664.17,13.18,No,No,0,0,1
390605.9215,699.29,319.61,41.17,No,No,0,0,1
430310.8257,896.81,501.62,50.41,No,Yes,0,1,1
769797.5161,1550.36,5.86,38.6,Yes,No,1,0,1
256978.3221,680.49,500.52,35.27,Yes,No,1,0,1
205562.6791,747.49,1166.44,26.54,No,No,0,0,1
318949.998,988.48,597.16,1.22,Yes,No,1,0,1
167546.7668,826.35,667.2,13.62,No,No,0,0,1
274558.259,1309.65,779.06,32.23,No,No,0,0,1
122660.0682,756.5,94.81,24.76,Yes,No,1,0,1
654180.6485,1460.44,169.38,35.64,Yes,No,1,0,1
121486.5873,956.19,620.13,6.59,No,No,0,0,1
279893.0825,564.94,805.94,26.65,No,No,0,0,1
410816.4987,1877.32,419.72,33.74,No,No,0,0,1
490495.3436,780.23,47.61,48.52,No,No,0,0,1
399436.5842,934.62,474.59,20.06,Yes,No,1,0,1
206029.5987,1004.05,412.04,16.66,No,No,0,0,1
222198.5451,550.0,1125.79,41.79,No,Yes,0,1,1
273015.0238,1354.92,809.67,22.32,No,No,0,0,1
248308.2316,1151.07,496.72,41.12,No,No,0,0,1
353108.2819,1104.28,247.27,8.22,No,Yes,0,1,1
353173.3423,1331.78,90.87,25.41,Yes,Yes,1,1,1
244280.9675,1253.07,719.02,17.68,Yes,No,1,0,1
191113.1065,670.27,774.41,46.63,No,Yes,0,1,1
277617.8096,1029.17,1066.64,26.44,No,No,0,0,1
521223.2561,1747.75,651.49,20.41,No,Yes,0,1,1
103947.6295,550.0,245.38,12.0,No,Yes,0,1,1
171418.0448,1272.98,439.48,44.4,No,No,0,0,1
